year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2025,GM0014,Groningen,Gemeente,125028,145521,5,313000,41,59,31,28,1,1318,244441
2025,GM0034,Almere,Gemeente,94045,98394,3,397000,62,38,27,11,2,1777,229574
2025,GM0037,Stadskanaal,Gemeente,15190,14765,4,282000,61,39,30,9,4,272,32038
2025,GM0047,Veendam,Gemeente,13169,12880,3,239000,65,35,24,11,3,365,27687
2025,GM0050,Zeewolde,Gemeente,9858,10513,3,423000,70,30,21,9,4,98,24291
2025,GM0059,Achtkarspelen,Gemeente,12416,12125,3,294000,64,36,30,6,5,276,28200
2025,GM0060,Ameland,Gemeente,1913,1850,14,351000,68,32,0,32,5,67,3800
2025,GM0072,Harlingen,Gemeente,8124,7797,6,263000,56,44,32,12,3,649,16210
2025,GM0074,Heerenveen,Gemeente,24447,24046,4,332000,60,40,28,12,3,273,51863
2025,GM0080,Leeuwarden,Gemeente,65879,67494,4,263000,51,49,28,21,2,547,129973
2025,GM0085,Ooststellingwerf,Gemeente,11506,11647,3,312000,68,32,27,6,5,116,25925
2025,GM0086,Opsterland,Gemeente,13509,12897,4,347000,70,30,21,9,5,134,30012
2025,GM0088,Schiermonnikoog,Gemeente,615,587,23,421000,54,46,26,20,5,23,971
2025,GM0090,Smallingerland,Gemeente,26564,25898,4,291000,60,40,30,10,3,487,57084
2025,GM0093,Terschelling,Gemeente,2360,2652,10,456000,64,36,19,17,5,56,4923
2025,GM0096,Vlieland,Gemeente,643,733,15,426000,38,62,32,30,5,29,1217
2025,GM0098,Weststellingwerf,Gemeente,12042,11806,4,315000,65,35,26,8,4,121,26596
2025,GM0106,Assen,Gemeente,33401,32767,3,294000,59,41,27,14,2,860,70392
2025,GM0109,Coevorden,Gemeente,15919,15910,4,313000,70,30,23,7,4,121,35860
2025,GM0114,Emmen,Gemeente,50710,50573,3,265000,63,37,28,9,4,327,109678
2025,GM0118,Hoogeveen,Gemeente,25911,25129,4,286000,62,38,28,10,3,446,56906
2025,GM0119,Meppel,Gemeente,16783,16914,3,310000,58,42,31,11,3,654,36271
2025,GM0141,Almelo,Gemeente,34709,33859,4,295000,55,45,33,12,2,1113,74776
2025,GM0147,Borne,Gemeente,10535,10340,3,395000,70,30,22,8,3,952,24741
2025,GM0148,Dalfsen,Gemeente,12599,12375,4,455000,74,26,17,8,4,182,30047
2025,GM0150,Deventer,Gemeente,48140,48940,3,357000,56,44,29,15,2,799,104301
2025,GM0153,Enschede,Gemeente,77688,81938,4,301000,48,52,36,15,2,1153,162317
2025,GM0158,Haaksbergen,Gemeente,10753,10420,5,380000,70,30,21,10,3,231,24225
2025,GM0160,Hardenberg,Gemeente,26307,25861,4,352000,70,29,21,8,4,203,63415
2025,GM0163,Hellendoorn,Gemeente,15194,15029,3,395000,73,27,21,6,4,263,36213
2025,GM0164,Hengelo (O.),Gemeente,40426,39972,4,313000,57,43,30,13,2,1375,83655
2025,GM0166,Kampen,Gemeente,23734,23359,3,361000,64,36,25,12,3,400,56547
2025,GM0168,Losser,Gemeente,10210,9903,4,381000,71,29,19,11,4,238,23469
2025,GM0171,Noordoostpolder,Gemeente,21364,21675,4,340000,66,34,23,12,4,111,50788
2025,GM0173,Oldenzaal,Gemeente,14974,14486,3,360000,63,37,27,10,3,1486,32021
2025,GM0175,Ommen,Gemeente,7934,8129,5,428000,71,29,18,11,4,107,19249
2025,GM0177,Raalte,Gemeente,16573,16501,3,414000,70,30,23,7,4,226,38623
2025,GM0180,Staphorst,Gemeente,6279,6394,5,380000,78,22,11,11,5,134,17968
2025,GM0183,Tubbergen,Gemeente,8940,8499,7,432000,73,27,11,15,5,146,21507
2025,GM0184,Urk,Gemeente,7213,6891,5,359000,77,23,14,9,3,1687,22173
2025,GM0189,Wierden,Gemeente,10369,10213,4,410000,73,27,17,10,4,268,25342
2025,GM0193,Zwolle,Gemeente,61693,63332,3,375000,53,47,33,14,2,1209,133810
2025,GM0197,Aalten,Gemeente,12346,11845,3,344000,72,28,19,9,4,285,27466
2025,GM0200,Apeldoorn,Gemeente,75994,76875,3,386000,60,40,28,12,2,496,168551
2025,GM0202,Arnhem,Gemeente,81530,85669,4,350000,43,57,34,22,2,1733,169364
2025,GM0203,Barneveld,Gemeente,24446,23866,5,480000,68,32,18,14,4,359,63152
2025,GM0209,Beuningen,Gemeente,11556,11681,2,416000,71,29,22,7,3,613,26749
2025,GM0213,Brummen,Gemeente,9871,9540,3,391000,63,37,30,7,4,256,21394
2025,GM0214,Buren,Gemeente,11258,11935,3,473000,75,25,19,6,5,209,27978
2025,GM0216,Culemborg,Gemeente,13398,13410,3,419000,64,36,27,9,2,1034,30281
2025,GM0221,Doesburg,Gemeente,5456,5423,3,318000,54,46,39,7,4,962,11125
2025,GM0222,Doetinchem,Gemeente,27376,27111,3,331000,60,40,28,12,3,760,60049
2025,GM0225,Druten,Gemeente,8752,8487,5,393000,65,35,22,13,4,526,19748
2025,GM0226,Duiven,Gemeente,10937,10925,2,370000,67,33,26,6,3,736,24942
2025,GM0228,Ede,Gemeente,52756,53071,5,438000,65,35,21,14,2,390,124214
2025,GM0230,Elburg,Gemeente,9841,9754,3,393000,65,35,26,8,4,375,23903
2025,GM0232,Epe,Gemeente,15005,14569,5,459000,65,35,27,8,4,214,33469
2025,GM0233,Ermelo,Gemeente,12149,11920,6,456000,62,38,24,14,4,328,28131
