year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2022,GM0014,Groningen,Gemeente,120703,138499,4,251000,40,60,32,27,1,1266,234950
2022,GM0034,Almere,Gemeente,88874,92438,2,310000,63,37,27,10,2,1686,217828
2022,GM0037,Stadskanaal,Gemeente,15170,14607,4,207000,60,39,30,9,4,271,31851
2022,GM0047,Veendam,Gemeente,12956,12732,3,180000,65,35,24,11,3,362,27466
2022,GM0050,Zeewolde,Gemeente,9155,10091,2,331000,70,29,22,7,4,94,23348
2022,GM0059,Achtkarspelen,Gemeente,12264,11913,3,226000,64,36,31,6,5,274,27954
2022,GM0060,Ameland,Gemeente,1778,1758,13,310000,67,33,0,33,5,66,3757
2022,GM0072,Harlingen,Gemeente,7841,7651,5,208000,56,44,32,12,3,637,15904
2022,GM0074,Heerenveen,Gemeente,23895,23292,4,269000,60,40,28,12,3,269,51119
2022,GM0080,Leeuwarden,Gemeente,63988,64472,4,204000,51,49,29,20,2,528,125504
2022,GM0085,Ooststellingwerf,Gemeente,11431,11463,3,263000,67,33,27,6,5,115,25680
2022,GM0086,Opsterland,Gemeente,13282,12669,3,287000,70,30,22,8,5,133,29791
2022,GM0088,Schiermonnikoog,Gemeente,599,534,24,333000,56,43,24,20,5,22,944
2022,GM0090,Smallingerland,Gemeente,25964,25176,3,234000,60,40,30,10,3,477,55895
2022,GM0093,Terschelling,Gemeente,2301,2618,9,390000,63,37,19,18,5,57,4960
2022,GM0096,Vlieland,Gemeente,596,701,12,327000,38,60,35,26,5,29,1195
2022,GM0098,Weststellingwerf,Gemeente,11837,11579,4,258000,65,35,27,7,4,119,26278
2022,GM0106,Assen,Gemeente,32680,31905,3,237000,59,41,28,14,2,842,68979
2022,GM0109,Coevorden,Gemeente,15691,15694,4,250000,70,30,24,7,4,120,35517
2022,GM0114,Emmen,Gemeente,50002,49111,3,208000,62,38,28,9,4,322,107856
2022,GM0118,Hoogeveen,Gemeente,25669,24510,4,221000,61,38,28,10,3,438,55857
2022,GM0119,Meppel,Gemeente,16297,15969,3,249000,57,43,31,11,3,626,34761
2022,GM0141,Almelo,Gemeente,33917,33063,4,224000,54,46,34,11,2,1089,73155
2022,GM0147,Borne,Gemeente,10290,10037,3,313000,70,30,22,8,3,924,24007
2022,GM0148,Dalfsen,Gemeente,12158,11923,3,356000,75,25,17,8,4,177,29162
2022,GM0150,Deventer,Gemeente,46469,47328,3,272000,55,45,29,15,2,777,101446
2022,GM0153,Enschede,Gemeente,76250,80537,4,235000,48,52,37,15,2,1141,160640
2022,GM0158,Haaksbergen,Gemeente,10585,10300,4,301000,69,31,21,10,3,232,24268
2022,GM0160,Hardenberg,Gemeente,25410,24907,4,272000,70,30,21,9,4,198,61798
2022,GM0163,Hellendoorn,Gemeente,15032,14853,3,327000,73,27,21,6,4,261,35940
2022,GM0164,Hengelo,Gemeente,39263,38777,3,243000,56,44,31,12,2,1339,81476
2022,GM0166,Kampen,Gemeente,22896,22526,4,275000,64,36,25,11,3,388,54791
2022,GM0168,Losser,Gemeente,9969,9608,4,296000,70,30,19,11,4,234,23084
2022,GM0171,Noordoostpolder,Gemeente,20498,19905,5,262000,66,34,24,11,4,105,48048
2022,GM0173,Oldenzaal,Gemeente,14753,14183,3,280000,62,38,29,9,3,1473,31741
